ZNF326
GBP2
WLS
ACYP1
PLAT
ZNF485
ITGA10
PIGBOS1
PPA2
APOBEC3G
DCTPP1
PTPN3
CEL
GGCT
PNKP
NDUFS1
PROM2
ARHGEF1
RGL3
TMEM229B
PARD6A
SDHA
DRC3
CISD1
RELB
ACAA1
ABHD12
TIMM9
CCR7
ZNF548
PGM3
SHMT2
PSMB8
RTN4IP1
RAD1
GLUL
BTG2
SLAMF6
BTN2A2
CD247
LAMTOR4
SLC16A2
TMEM42
DDB2
PGAM1
BCL3
LAPTM4B
TTYH1
UNC50
NCS1
BIRC3
PGK1
RGS2
EMC2
C14orf93
ENOSF1
APOOL
STC2
TBC1D24
KLHDC7B
IL3RA
IP6K2
PLA2G2D
SPIB
PML
STARD10
RACGAP1
PPM1L
RCL1
ENC1
C1orf226
SGK3
APOD
HLA-DQB2
GZMK
TAPBP
ANKRD35
ATG4A
BRIX1
CASP9
ERF
POLR3GL
ZFHX3
COPZ1
PLGRKT
MAGT1
NFKBIA
DERL1
ACBD5
DPP9
DCAF13
VDAC1
TXLNA
IGLC2
TNFRSF14
CLTA
BTG1
ZSWIM3
MRPS35
TMEM69
IQSEC1
ZNF671
EVA1B
NAB2
C8orf76
CBX3
TAPBPL
P4HA1
OSTM1
C6orf226
CCDC69
FIG4
MED17
ZNF394
XIAP
CD5
ENDOV
TTC23
RHBDL1
ICAM1
ALKBH2
HSP90AA1
TUBA1C
TINF2
SNX22
ZNF552
GSTK1
EGR3
ZDHHC9
C8orf33
CCDC127
SBSPON
TRBC2
MAGOH
IFRD2
SNRK
CBX7
OSGEP
TIMM17A
ADPRH
CBR1
CYBA
FOXRED1
OTUD6B
THOC1
SKAP1
RNF150
CLDN11
SLC8B1
ARFGEF3
ANO6
TRIM45
PLEKHA4
KLRB1
EEF1B2
RFX3
MORF4L2
SETD7
PPFIA3
CD79A
CD48
MCTS1
SLC19A2
DHX58
CUL9
IKZF1
MATK
GSTZ1
ARL14EP
TBC1D10C
ATP6AP1
JAK1
INO80B
DEF6
SCARB2
KRT15
DHRS12
TTC39C
YBEY
ADAM9
IRF2
ARHGAP26
POP1
DHRS7
ERCC6L
SLC20A2
WDR55
SDC1
KRTCAP3
NUP43
INIP
FAM117A
PTK2
SBDS
XKR8
NFKBID
ZMYM6
GIMAP2
RGS3
MGAT4A
PERP
UBA7
TRAPPC12
TMEM192
ZNF586
CD69
GDI1
CD3D
AMD1
GSTM4
SPINT1
U2AF1L4
CCDC28B
PCP2
MYD88
PCSK6
MAL2
PAQR8
VTA1
GNA15
HYI
PSME1
C3orf62
CCT6A
FUT11
CCDC115
SOCS7
DAXX
ZNF512
PTGES3
RAB3GAP2
YTHDF1
HINT3
C17orf107
FBL
RBMXL1
C19orf47
PELO
TPD52
TMEM65
MRPL49
ARFGEF1
CCDC125
TMBIM6
LRRC23
C1GALT1C1
HDAC2
ESRP1
TIPARP
NDUFAF4
CCDC24
SLC39A8
CEBPD
TSPYL5
CDK14
RILP
TNIP1
SEC14L2
GPR107
SURF4
VHL
NFKBIE
DLG3
NME3
PRKAB2
WIPF3
JUND
REC8
SPN
KDM4B
SLC35B2
AK2
YWHAB
PSME2
TP53I11
WDR89
GSAP
RAB2A
SVBP
XRCC4
BCLAF1
MZT2A
ADGRB2
BTBD6
PDP1
OMA1
MVP
NANOS1
BAHD1
CD52
ING2
RAB5B
TCP1
WWOX
IGKC
TBL1X
MMGT1
SELL
UBE2L6
IFI35
MRPL16
ANXA4
KYAT3
APOL3
TMEM60
BRICD5
TLN2
PMPCB
POLR1E
ZNF28
LRP11
CD24
TNFAIP8
TM2D2
TRAC
SUSD3
JCHAIN
PRRC1
SEC63
TRIM21
INPP5A
BRMS1L
RAC2
S1PR4
GDPGP1
ARMC1
ZNF655
ZNF516
HCAR1
IGF2R
LAMB3
IGLC3
CALM2
ATF7IP2
SLC35A2
STAT5A
KRT17
PEX10
KRT80
CD6
C1RL
IL27RA
AGPAT1
PSPH
DIP2B
NKAP
HSD17B8
TRMT2B
SERPINA1
LTA4H
TUBA1B
MTRF1L
GSTO1
CCT4
TRAF3IP3
SH3D21
CD2
CD3G
HSPA9
FCHSD1
CLSTN3
MYO15B
TMED3
FCMR
TTC22
ACTR10
CYP27A1
PARP3
BST2
MORC4
ZNF688
MLLT6
SH2D2A
OCRL
TRIM47
DOC2B
HHEX
PDSS2
EPHB4
XPNPEP3
CCL19
CPT1A
PLPP2
MAFF
ARID5A
DECR1
EPB41L4B
RABGAP1
SNX3
GRHPR
QPRT
SOCS3
CXCL9
ARID1B
SYNJ2
RAB27A
SFPQ
PCMT1
SPOCK2
AP3S1
MTFR1
CPPED1
GZMA
HCCS
MITD1
SUV39H2
GZMB
TPT1
BEND5
SCRN1
ZNF468
EIF3H
KLHL26
STK39
S1PR3
LIMCH1
CDON
IGHA1
GNAI2
CD74
YIPF5
HLCS
ZNF765
EGR2
SNRNP48
SEMA3B
AP1S2
SIAH2
CYB561
GTF2B
PNRC2
TAGLN2
FKBP14
CASP7
ZRSR2
UTP23
MRPL13
GRHL2
FHL3
RAD51
SKP1
HARS2
TIMM8A
STXBP5
ZMYND8
NDUFA5
SAV1
