NEMP2
FAM98B
IL22RA1
ADAM12
PIH1D1
RBM15B
ABCC2
STYXL1
TEX30
SPOCD1
RAB5IF
TOP2A
DCUN1D1
WFDC10B
SLC38A2
TENT5C
TAF1A
BUB3
ZNF718
SAMM50
NCF2
QSER1
MAPKAPK2
MTMR11
PLIN3
POLM
EFNA5
DALRD3
MST1R
POLA2
NDC1
CKAP4
ASPM
MCM10
IRX6
LOXL3
TSC22D2
ZNF77
GJB3
MYH9
PLSCR1
CHTF18
P2RY6
CCDC50
TP53BP2
POLR2K
MAPKAPK5
TSPOAP1
ADRA2A
DNMT3A
PSMD11
WBP11
GIMAP8
HOXB7
L1CAM
MBTPS2
LASP1
PXN
RFT1
EHMT1
GALNT2
CUL7
THBS1
MMP14
SNF8
CTPS1
NOP56
TSNARE1
SLC47A1
DNTTIP2
GOLT1B
LYRM9
CTSL
ATIC
MDH2
OSMR
U2SURP
PIK3R6
RRM2
NEIL1
ZFPL1
PCP4L1
ERAP2
PDE6B
DDX27
LY86
TRIM6
CISH
PLAT
OPN3
SCIMP
RHOV
PNMA8A
MCOLN2
HMGA1
TANC2
GNPNAT1
NUP188
HERPUD1
DKC1
CD99
ENY2
AURKB
SULT1C2
DCPS
ARHGAP11A
CPD
MALSU1
ZNF384
PYHIN1
OTULIN
PSG3
GRAP2
RCN1
SPC24
KLK12
SSBP1
GPI
MCCC2
HTRA4
HSF2BP
CALU
B3GNT3
F2RL3
FCRL6
STEAP2
PDE8B
NOL11
SH2B3
PSRC1
PCLAF
DDIT4
ANKRD6
DBP
KLHDC7A
WDR36
LY9
MYC
HDAC7
KNSTRN
SLIRP
TROAP
SULT1A1
TNNC2
KNOP1
PSMA1
GNA12
DMD
SCFD2
B4GALNT1
MED21
ZNF697
HPRT1
ZW10
KRT16
EPHB3
PGM2L1
TFG
UCK2
PIK3R1
CHM
PRKCB
FOLR2
P2RY8
BEX5
UNC13B
DARS2
RHOD
SPAG5
MAPRE3
RBM17
ZBTB10
C1orf174
COASY
CTDSP2
SAPCD2
GADD45G
SF1
CAMSAP2
PLD4
TRIM14
RASGRP2
INTS4
CD5
LAD1
MED6
MXRA7
ZNF564
AUP1
ZC3HAV1L
DSC2
PSMC1
ABAT
DLGAP5
CSE1L
CMTM3
PPP1R14D
FAM83D
CHCHD4
CNNM4
MYBL2
DCUN1D5
SELENOW
AUNIP
SEMA4C
INTS5
LAX1
PAIP2B
GPRIN1
TRDC
MYO5A
ESYT3
RAB42
VDAC3
MIS18A
UTP6
EXOSC9
NPC2
COX8A
INPP5B
ACTB
NGDN
CYP4B1
NDUFA12
GMPPA
SRD5A3
PTGES
VSTM2L
LDLRAD3
TRAF2
MYLIP
PHC2
EIF3B
PRRX2
CD1D
NSUN2
RND3
NDRG1
COA6
S100P
RFC4
VGLL4
NCBP2
PGK1
CDK1
DNASE1L3
SMC2
NOP2
NOTCH3
CTDSP1
EIF3M
TOPBP1
DCK
GJC1
FAM178B
C18orf54
BICD1
SDK1
SPRED3
SLC6A14
USP14
PDCD7
HABP2
MYBPHL
SPATS2L
PTPRG
STRAP
ZDHHC5
SIX4
KIF2C
PRPSAP1
DTYMK
TEAD4
P3H4
FAM222B
SIGLEC7
CDKN3
POLD1
TMPRSS2
FRMD6
PLP2
MBD2
IL1RAP
ACTN1
EEF1AKMT4
P2RY14
CCT2
SLC2A11
ZC3HC1
DKK1
CACNA2D2
SRGAP1
SLC44A1
LGR5
DPEP2
PLEC
SAP30BP
PDZD7
MASTL
BCAR1
PGAM1
ANGPTL4
FAM3C
CRISPLD1
SEMA3C
WDR18
TNFRSF1A
GOSR1
GNL3
ZNF540
WWTR1
ZWINT
CLEC10A
LETM2
MAGOHB
PES1
GANAB
PARP15
LYAR
SLC2A1
TKFC
RIMKLA
DAAM2
RNF31
IVD
HPS3
RXYLT1
HOXB9
FAM117A
C12orf29
ID2
ELP4
TMTC3
IMPDH2
CRABP2
FUBP1
ARHGEF39
PFDN2
NFXL1
TMEM41A
KIF20A
TMEM106B
ZNF143
SMARCD2
PITPNC1
MED1
PFN1
NRAS
MAPK12
ZNF43
UBE2C
USP15
MAD2L1
BRIP1
IRF4
SACS
CAND1
TRIP13
EIF2AK2
IKZF1
BMP1
TLN1
AMT
KIF23
PGM5
ZFAND2A
EXT1
CBFA2T3
SQLE
TFAP2A
